PRODUCT_ID,PRODUCT_NAME,DESCRIPTION
1,Autonomous Database,Oracle Autonomous Databaseは、柔軟にスケーリングして高速な問合せパフォーマンスを提供する、Oracle Cloud Infrastructure（OCI）で使える完全自律型データベースです。
2,Analytics Cloud,Oracle Analytics Cloudは、スケーラブルでセキュアなパブリック・クラウド・サービスであり、お客様、お客様のワークグループ、およびお客様の企業向けに、コラボレーティブなアナリティクスを探索および実行する機能を提供します。
3,Data Science,Oracle Cloud Infrastructure（OCI）データ・サイエンスは、データ・サイエンス・チームが機械学習モデルを構築、トレーニング、管理するためのフル・マネージド・サーバーレス・プラットフォームです。
4,Data Safe,Oracle Data Safeは、お客様のデータのセキュリティに焦点を当てた完全に統合されたクラウド・サービスです。
5,Functions,Oracle Cloud Infrastructure Functionsは、フルマネージド、マルチテナント、高拡張性、オンデマンドのFunctions-as-a-Serviceプラットフォームです。
6,Heatwave,HeatWave Serviceは、オラクルのMySQLチームが開発、管理、サポートするフルマネージドのOracle Cloud Infrastructureネイティブサービスです。
7,Autonomous Recovery Service,Oracle Database Autonomous Recovery Serviceは、Oracle Cloud Infrastructure（OCI）データベース用の、完全に管理されたスタンドアロン型の集中型クラウド・バックアップ・ソリューションです。
8,GoldenGate,Oracle Cloud Infrastructure GoldenGateは、完全に管理されたネイティブ・クラウド・サービスで、データをリアルタイムで大規模に移動します。 OCI GoldenGateは、1つまたは複数のデータ管理システムからターゲット・データベースに移動するデータを処理します。
9,Zero Trust Packet Routing,Oracle Cloud Infrastructure Zero Trust Packet Routing（ZPR）は、セキュリティ属性を割り当てるOCIリソースに対して作成するインテント・ベースのセキュリティ・ポリシーによって、機密データを不正アクセスから保護します。
10,Kubernetes Engine,Oracle Cloud Infrastructure Kubernetes Engineは、コンテナ化されたアプリケーションをクラウドにデプロイするために使用できる、完全に管理されたスケーラブルで可用性の高いサービスです。
